Term,Translation,Context
ahal,potestad,Juridical Sciences & Law > Administrative law
ahal,facultad,Juridical Sciences & Law > Constitutional law
ahalmen,facultad,Juridical Sciences & Law > Administrative law
ahalmen,potestad,Juridical Sciences & Law > Constitutional law
aitorpen,reconocimiento,Juridical Sciences & Law > Administrative law
aitorpen,declaración; reconocimiento,Juridical Sciences & Law > Constitutional law
aitortu,reconocer,Juridical Sciences & Law > Administrative law
aitortu,confesar; declarar; reconocer,Juridical Sciences & Law > Constitutional law
antolamendu,organización,Juridical Sciences & Law > Administrative law
antolamendu,ordenamiento,Juridical Sciences & Law > Constitutional law
araubide,régimen,Juridical Sciences & Law > Administrative law
araubide,normativa; régimen,Juridical Sciences & Law > Constitutional law
araudi,normativa,Juridical Sciences & Law > Administrative law
araudi,erregelamendu; normativa; reglamento,Juridical Sciences & Law > Constitutional law
arautu,regular,Juridical Sciences & Law > Administrative law
arautu,normar; normativizar; regular,Juridical Sciences & Law > Constitutional law
auzi,litigio,Juridical Sciences & Law > Administrative law
auzi,pleito,Juridical Sciences & Law > Constitutional law
berretsi,confirmar,Juridical Sciences & Law > Administrative law
berretsi,ratificar; refrendar,Juridical Sciences & Law > Constitutional law
besterendu,enajenar,Juridical Sciences & Law > Administrative law
besterendu,delegar,Juridical Sciences & Law > Constitutional law
betebehar,obligación,Juridical Sciences & Law > Administrative law
betebehar,deber; exigencia; necesidad; obligación,Juridical Sciences & Law > Constitutional law
betekizun,requisito,Juridical Sciences & Law > Administrative law
betekizun,función; tarea,Juridical Sciences & Law > Constitutional law
desjabetu,expropiar,Juridical Sciences & Law > Administrative law
desjabetu,desposeer,Juridical Sciences & Law > Constitutional law
eginbehar,deber; deber público,Juridical Sciences & Law > Administrative law
eginbehar,deber; exigencia; necesidad; obligación,Juridical Sciences & Law > Constitutional law
eginbide,diligencia,Juridical Sciences & Law > Administrative law
eginbide,deber; exigencia; necesidad; obligación,Juridical Sciences & Law > Constitutional law
eginkizun,función,Juridical Sciences & Law > Administrative law
eginkizun,función; tarea,Juridical Sciences & Law > Constitutional law
egoera,situación; situación administrativa,Juridical Sciences & Law > Administrative law
egoera,situación,Juridical Sciences & Law > Constitutional law
erregimen,régimen,Juridical Sciences & Law > Administrative law
erregimen,normativa; régimen,Juridical Sciences & Law > Constitutional law
errolda,padrón; registro,Juridical Sciences & Law > Administrative law
errolda,censo,Juridical Sciences & Law > Constitutional law
eskabide,solicitud,Juridical Sciences & Law > Administrative law
eskabide,recurso,Juridical Sciences & Law > Constitutional law
eskari,solicitud,Juridical Sciences & Law > Administrative law
eskari,demanda; petición,Juridical Sciences & Law > Constitutional law
eskualdatu,disponer,Juridical Sciences & Law > Administrative law
eskualdatu,transferir,Juridical Sciences & Law > Constitutional law
eten,suspensión,Juridical Sciences & Law > Administrative law
eten,suspender,Juridical Sciences & Law > Constitutional law
jarduera,actividad,Juridical Sciences & Law > Administrative law
jarduera,actividad; actuación,Juridical Sciences & Law > Constitutional law
maila,nivel; nivel; rango,Juridical Sciences & Law > Administrative law
maila,grado; nivel,Juridical Sciences & Law > Constitutional law
mendekotasun,subordinación-sujeción,Juridical Sciences & Law > Administrative law
mendekotasun,subordinación,Juridical Sciences & Law > Constitutional law
premiazko egoera,situación de necesidad,Juridical Sciences & Law > Administrative law
premiazko egoera,urgente necesidad,Juridical Sciences & Law > Constitutional law
zehapen,sanción; sanción administrativa,Juridical Sciences & Law > Administrative law
zehapen,sanción,Juridical Sciences & Law > Constitutional law
zigor,sanción; sanción administrativa,Juridical Sciences & Law > Administrative law
zigor,pena,Juridical Sciences & Law > Constitutional law
zigortu,sancionar,Juridical Sciences & Law > Administrative law
zigortu,castigar,Juridical Sciences & Law > Constitutional law
